secID,股票名称,题材,题材汇总,涨停原因,题材（G）,tradeDate
300654.XSHE,世纪天鸿,游戏传媒 人工智能,"教育 AI教育 ChatGPT,游戏传媒 人工智能,传媒 出版 业绩增长,传媒 教育 人工智能,教育 AIGC ChatGPT 出版,传媒 出版,传媒 出版 人工智能",人工智能大模型 1、公司专注于我国K12基更多...,文化传媒 K12教育 平面媒体 在线教育 创业板重组松绑 送转填权 人工智能,2024-03-24
600973.XSHG,宝胜股份,光刻机(胶) HEPS概念,光刻机(胶) HEPS概念,铜缆高速连接器 控股子公司金源铜业是专业生更多...,铁路基建 铜 西电东送 人造太阳 智能电网 航空航天 特斯拉 大飞机 高铁 富时罗素概念 富时罗素概念股 超导 标普道琼斯A股 中航系 央企国资改革 光伏概念 恒大概念 核电 央企国企改革 国企改革 融资融券 超导概念 充电桩,2024-03-24
002124.XSHE,天邦食品,农业 猪肉 预制菜,农业 猪肉 预制菜,养猪 公司养猪采用公司+家庭农场更多...,禽流感 猪肉 深股通 融资融券 转融券标的 抖音小店 水产品 富时罗素概念 富时罗素概念股 标普道琼斯A股 预制菜,2024-03-21
600229.XSHG,城市传媒,游戏传媒 教育,"传媒 出版 国企改革,传媒 教育,传媒,游戏传媒 教育,传媒 出版 教育 一季报增长",人工智能大模型 实控人为青岛市财政局旗下的更多...,融资融券 网络直播 独角兽概念 转融券标的 VR平台 京东概念 虚拟现实 文化传媒 地方国资改革 山东国资改革 在线教育,2024-03-21
688103.XSHG,国力股份,军工 半导体芯片,军工 半导体芯片,新能源汽车 1、公司专业从事电子真空器更多...,融资融券 转融券标的 科创次新股 新股与次新股 沪股通 宁德时代概念 新能源汽车 军工,2024-03-21
001201.XSHE,东瑞股份,猪肉 农业,猪肉 农业,养猪 国内较大的自育自繁自养一体更多...,猪肉 核准制次新股 饲料 新股与次新股,2024-03-21
002825.XSHE,纳尔股份,氢能源,"氢能源,氢能源 燃料电池 膜电极",氢能源/燃料电池 子公司上海纳尔终能氢电有限更多...,创投 煤化工 口罩 燃料电池 半年报预增 氢能源 年报预增,2024-03-21
603601.XSHG,再升科技,生物安全 玻纤 eVTOL飞行器,"口罩 玻纤,生物安全 玻纤 eVTOL飞行器",飞行汽车/eVTOL 公司是我国过滤材料龙头；当更多...,PM2.5 空气净化 节能环保 融资融券 口罩 转融券标的 生物安全 沪股通 新材料概念 建筑节能 智能制造 大飞机,2024-03-20
002204.XSHE,大连重工,航天 核电 军工 机器人,航天 核电 军工 机器人,智能制造 1、公司预计一季报净利润同更多...,振兴东北 核电 大连自贸区 东北亚经贸中心 高端装备 太空望远镜 融资融券 军工 深股通 转融券标的 雄安新区 一带一路 地方国资改革 辽宁国资改革 轨道交通 新基建 富时罗素概念 富时罗素概念股 标普道琼斯A股 风电 半年报预增 国产替代 三季报预增 年报预增 超超临界发电 无人驾驶,2024-03-20
600375.XSHG,汉马科技,新能源汽车 重卡,"新能源汽车 换电 氢能源,新能源汽车 汽车整车 重卡,新能源汽车 汽车整车,氢能源 汽车,新能源汽车 重卡,新能源汽车 复牌 军工",新能源汽车 国内产业链最为完整的重卡生更多...,安徽城镇化 安徽自贸区 汽车制造概念 军工 新能源汽车 垃圾分类 融资融券 转融券标的 股权转让 燃料电池 换电概念,2024-03-20
301237.XSHE,和顺科技,光伏,光伏,光伏 公司专注于差异化、功能性双更多...,首发新股 光伏概念 消费电子概念 新材料概念 注册制次新股,2024-03-20
001324.XSHE,长青科技,高铁轨交 机器人 建筑节能,"高铁轨交 机器人 次新股,高铁轨交 机器人 建筑节能,高铁轨交 机器人,高铁轨交 次新股",其他 1、公司提供轨道交通车辆内更多...,首发新股 新股与次新股 装配式建筑 建筑节能 新材料概念 机器人概念 国产软件 注册制次新股,2024-03-20
002641.XSHE,公元股份,光伏 海绵城市,"光伏 BIPV 机器人 储能,光伏 储能 BIPV 机器人,光伏 风光储,光伏 海绵城市",光伏 1、公司预计2023年净利更多...,地下管网 光伏概念 太阳能 深股通 水利 新型城镇化 机器人概念 天然气 储能 共同富裕示范区,2024-03-20
688787.XSHG,海天瑞声,人工智能 消费电子,"人工智能 AIGC,人工智能 ChatGPT AI模型,人工智能 消费电子,人工智能 ChatGPT AIGC",人工智能大模型 1、国内领先的AI训练数据更多...,融资融券 转融券标的 科创次新股 人工智能 人脸识别 专精特新 新股与次新股 语音技术 虚拟数字人 数字水印 数据要素 小米概念 无人驾驶 沪股通,2024-03-20
603322.XSHG,超讯通信,算力 人工智能,"储能 算力 光模块,算力 人工智能,算力 数据中心 人工智能,算力,光通信 数据中心 算力,算力 AIGC 人工智能 5G,算力 AIGC 通信 华为产业链,人工智能 算力 光通信,算力 芯片,光通信 数据中心 人工智能,光通信 数据中心 人工智能 算力,储能 光通信 数据中心,6G 芯片,算力 人工智能 边缘计算 5G,人工智能 算力",人工智能大模型 公司旗下灵犀妙笔接入火山方更多...,智能表 物联网 5G 边缘计算 华为概念 镍氢电池 智慧城市 芯片概念 云计算 移动支付 ST板块 摘帽 智能物流 数据中心 半年报预增 充电桩 粤港澳大湾区 东数西算（算力）,2024-03-20
002858.XSHE,力盛体育,体育 人工智能,"ChatGPT 人工智能 教育,体育 人工智能,AI+体育 人工智能,OpenAI插件 人工智能,AIGC 体育 人工智能,体育 人工智能 教育",人工智能大模型 1、公司已实现赛车赛事实况更多...,体育产业 健康中国 数字经济 大数据 在线教育 NFT概念 人工智能 虚拟现实,2024-03-20
605005.XSHG,合兴股份,无人驾驶,"新能源汽车 无人驾驶 汽车电子,无人驾驶,汽车零部件 汽车产业链",无人驾驶 公司开发的应用于线控制动和更多...,新能源汽车 汽车电子 新股与次新股 核准制次新股 消费电子概念 汽车零部件 3D打印 宁德时代概念 智能制造 汽车热管理 无人驾驶,2024-03-20
301235.XSHE,华康医疗,医药医疗,医药医疗,业绩增长 公司主营业务包括医疗净化系更多...,医疗废物处理 智能医疗 新冠检测 融资融券 新股与次新股 医疗器械概念 注册制次新股 专精特新 方舱医院 人工智能,2024-03-20
002798.XSHE,帝欧家居,装修装饰 房地产,"装修装饰 房地产产业链,装修装饰 房地产",房地产 公司为国内高端卫浴品牌企业更多...,参股新三板 深股通 精装修 标普道琼斯A股 智能家居 华为概念,2024-03-20
600006.XSHG,东风汽车,新能源汽车,"新能源汽车 汽车整车 国企改革,新能源汽车,新能源汽车 汽车整车,新能源汽车 汽车整车 收购资产,汽车产业链",新能源汽车 东风汽车集团旗下，公司旗下更多...,新能源物流车 融资融券 转融券标的 新能源汽车 室外经济 汽车制造概念 智能汽车 华为汽车 无人驾驶 燃料电池 央企国企改革 国企改革,2024-03-20
688290.XSHG,景业智能,机器人 核电,机器人 核电,智能制造 公司主要从事特种机器人及智更多...,核电 机器人概念 军工 科创次新股 新股与次新股 半年报预增 融资融券 专精特新 年报预增,2024-03-20
002141.XSHE,贤丰控股,锂电池 新能源汽车,"锂电池 盐湖提锂 兽用疫苗,锂电池 新能源汽车",新能源汽车 公司拥有盐湖提锂技术；与中更多...,广东自贸区 横琴新区 锂电原料 独角兽概念 创投 粤港澳大湾区 新能源 网络游戏 澳交所概念 动物疫苗 盐湖提锂 锂电池,2024-03-19
000908.XSHE,景峰医药,医药医疗,"医药 CRO 芬太尼替换,医药 眼科 肝素,医药 创新药 肝素,医药医疗,医美 医药,医药",医药 消息称公司子公司生产的非阿更多...,生物医药 抗癌 国产伟哥 健康中国 医保目录 创新药 抗肿瘤 民营医院 仿制药 儿童医药医疗 口罩 基因测序 肝素 医疗器械概念 眼科医疗 辅助生殖 医美概念 仿制药一致性评价 互联网医疗 中医药 消毒剂 债转股(AMC概念),2024-03-19
300552.XSHE,万集科技,无人驾驶,"无人驾驶,无人驾驶 智能交通 ETC,无人驾驶 汽车产业链",无人驾驶 公司布局了面向自动驾驶的车更多...,智能交通 激光器 智慧城市 雷达 无人驾驶 边缘计算 电子车牌 ETC 传感器 激光 华为概念 车联网 深股通 国资驰援 汽车电子 机器人概念 数字孪生,2024-03-19
002521.XSHE,齐峰新材,造纸,造纸,其他 高档装饰原纸行业龙头(选股更多...,造纸转暖 胶合板 融资融券 转融券标的 纸浆 半年报预增 三季报预增 可降解塑料,2024-03-19
605337.XSHG,李子园,食品饮料,"食品饮料 乳业 消费 一季报增长,食品饮料",业绩增长 公司主要从事甜牛奶乳饮料系更多...,乳业 核准制次新股 新股与次新股 电子商务 共同富裕示范区 沪股通 新零售,2024-03-19
688629.XSHG,华丰科技,光通信 5G 算力,"机器人 汽车产业链,华为产业链 光通信,光通信 5G 算力",交换机 公司光通讯连接器产品包括光更多...,科创次新股 融资融券 新股与次新股 共封装光学（CPO） 注册制次新股 机器人概念 比亚迪概念 军工 国企改革 华为概念 新能源汽车,2024-03-19
300913.XSHE,兆龙互连,光通信 CPO,"机器人 人工智能,人工智能 光通信,光通信 CPO,人工智能 云计算数据中心",交换机 公司主要从事铜缆数据电缆、更多...,融资融券 转融券标的 新股与次新股 注册制次新股 5G 送转填权 机器视觉 机器人概念 共封装光学（CPO） 云计算,2024-03-19
603089.XSHG,正裕工业,新能源汽车 汽车零部件,"汽车零部件 减震器,汽车产业链 减震器,新能源汽车 汽车零部件",新能源汽车 中国汽车零部件减震器行业龙更多...,新能源汽车 人民币贬值受益 村镇银行 汽车零部件 比亚迪概念 专精特新,2024-03-18
002349.XSHE,精华制药,医药医疗,"医药医疗,中药 医药",医药 公司正柴胡饮颗粒近期被国家更多...,生物医药 单抗 医保目录 地方国资改革 抗肿瘤 新三板精选层概念 透明工厂 养老概念 中医药 肝炎概念 锂电池 医药电商 深股通 流感 国企改革 新冠特效药 新冠治疗 融资融券,2024-03-18
600498.XSHG,烽火通信,光通信 CPO,"光电共封装CPO 光通信 国资云,CPO 光通信 国资云,6G 芯片 算力 人工智能 光通信,光通信 CPO",光通信 中国光纤产业、光通信设备龙更多...,央企控股 三网融合 宽带中国 东湖高新园区 电子信息 IPV6 武汉光谷 专网通信 太空望远镜 光纤 融资融券 沪股通 5G主设备 光纤光缆 转融券标的 大数据 5G 网络安全 富时罗素概念 富时罗素概念股 网络切片 黑洞概念 芯片概念 MSCI概念 标普道琼斯A股 云计算 央企国资改革 参股基金 央企国企改革 共封装光学（CPO） 6G概念 国企改革 国资云 数据安全 数据要素 数据中心 一带一路 智慧城市 人工智能 智慧政务 液冷服务器,2024-03-18
002559.XSHE,亚威股份,工业母机 机器人 半导体 高带宽存储器,"工业母机 机器人 半导体 高带宽存储器,机器人 光刻机(胶) 芯片 存储芯片,机器人 光刻机(胶) 高带宽存储器 芯片,芯片 存储芯片,工业母机 芯片,机器人 光刻机(胶) 存储芯片,芯片 存储芯片 算力 人工智能,机器人 光刻机(胶) 芯片 HBM,新型工业化 机器人 光刻机(胶),智能制造 工业母机 机器人",智能制造 1、公司是国内金属成形机床更多...,3D打印 工业机器人 机器人概念 边缘计算 军工 工业互联网 OLED 激光 芯片封装测试 芯片概念 光刻胶 工业4.0 高端装备 工业母机 智能制造 比亚迪概念 机器视觉 光伏概念 存储芯片,2024-03-18
600633.XSHG,浙数文化,游戏传媒 人工智能 算力,"游戏传媒 人工智能 算力,数据要素 传媒 人工智能 算力,数据要素 阿里大模型 人工智能,数据要素 传媒 人工智能 AI+传媒,传媒 数据要素 游戏",数据要素 1、公司参与设立浙江大数据更多...,人工智能 新媒体 体育产业 数字出版示范 融资融券 平面媒体 转融券标的 大数据 电子竞技 网络游戏 手机游戏 阿里巴巴概念 网络直播 云计算 独角兽概念 地方国资改革 区块链 数据中心 互联网医疗 智慧城市 文化传媒 富时罗素概念股 融媒体 浙江国资改革 分拆上市意愿 NFT概念 杭州亚运会 共同富裕示范区 证金持股 元宇宙 数据确权 国企改革 沪股通 数据要素 半年报预增 数字经济,2024-03-18
300206.XSHE,理邦仪器,医药医疗 人工智能,医药医疗 人工智能,医药 公司是高端彩超+POCT领更多...,智能医疗 病毒检测芯片 健康中国 POCT 体外诊断 医疗器械概念 深股通 富时罗素概念 三胎概念 分子诊断 方舱医院 血氧仪,2024-03-18
603578.XSHG,三星新材,家电 玻璃 冷链,"公告 实控人变更 复牌,家电 基建,家电 玻璃 冷链",其他 公司主营各类低温储藏设备玻更多...,共同富裕示范区,2024-03-18
603669.XSHG,灵康药业,医药医疗,"医药医疗,医药 医药生物 民营医院",医药 1、公司主导产品涵盖肠外营更多...,标普道琼斯A股 生物医药 民营医院 医保目录 仿制药一致性评价 流感,2024-03-18
603013.XSHG,亚普股份,新能源汽车 氢能源,"新能源汽车 氢能源,新能源汽车 氢能源 汽车热管理,氢能源",新能源汽车 公司主要产品为传统汽车燃油更多...,燃料电池 汽车制造概念 国投系 新能源汽车 标普道琼斯A股 央企国资改革 汽车零部件 氢能源 比亚迪概念 央企国企改革 储能,2024-03-18
601118.XSHG,海南橡胶,农业 橡胶,农业 橡胶,其他 中国天然橡胶产业龙头，拥有更多...,电子商务 三沙 聚土地概念 循环经济 厄尔尼诺概念 融资融券 转融券标的 国改双百行动 军工 橡胶 农垦改革 乡村振兴 赛马概念 地方国资改革 农业种植 海南自贸区 免税店 可降解塑料 碳中和 沪股通,2024-03-18
688070.XSHG,纵横股份,低空经济 eVTOL飞行器,"科创板 次新股 无人机 军工,低空经济 eVTOL飞行器",飞行汽车/eVTOL 1、国内垂直起降固定翼无人更多...,融资融券 转融券标的 无人机 新股与次新股 科创次新股 专精特新 智慧城市 时空大数据,2024-03-18
300808.XSHE,久量股份,LED 露营,LED 露营,其他 1、公司主要从事LED照明更多...,节能照明 一带一路 露营经济,2024-03-18
831834,三维股份,橡胶,橡胶,更多...,,2024-03-17
834475,三友科技,有色金属,有色金属,更多...,送转填权,2024-03-17
838030,德众汽车,汽车拆解,汽车拆解,更多...,,2024-03-17
002772.XSHE,众兴菌业,食品饮料 农业种植,"食品饮料 公告 业绩增长,食品饮料 农业种植,其他",大消费 天水麻辣烫爆火；公司地处天更多...,乡村振兴 农业种植 白酒概念 年报预增,2024-03-17
301510.XSHE,固高科技,工业自动化 机器人,工业自动化 机器人,智能制造 1、公司专注于运动控制及智更多...,首发新股 融资融券 新股与次新股 注册制次新股 高端装备 工业母机 机器视觉 物联网 工业4.0 机器人概念 芯片概念 污水处理 先进封装（Chiplet） 智能制造 智能物流,2024-03-17
002363.XSHE,隆基机械,汽车产业链,"汽车产业链,汽车零部件 汽车产业链,新能源 华为汽车 汽车零部件,新能源汽车 华为汽车 汽车零部件,新能源汽车 华为汽车 汽车轻量化",新能源汽车 公司为新能源汽车提供制动盘更多...,工业4.0 军工 新能源汽车 特斯拉 锂电池 汽车零部件 华为汽车 比亚迪概念 华为概念,2024-03-17
300610.XSHE,晨化股份,有机硅,有机硅,有机硅 1、公司硅橡胶产品，分作高更多...,环氧树脂 磷化工 创业板重组松绑 半年报预增 新材料概念 专精特新 有机硅概念 三季报预增,2024-03-17
002310.XSHE,东方园林,环保 园林,"基建 环保 新型城镇化,基建 环保,新型城镇化 园林开发 房地产产业链,环保 园林,基建 环保 新型城镇化 核污染防治",环保 生态修复行业龙头；子公司中更多...,参股民营银行 矿山生态修复 生态城乡 融资融券 深股通 转融券标的 污水处理 乡村振兴 节能环保 旅游 地方国资改革 北京国资改革 医疗废物处理 园林开发 海绵城市 汽车拆解概念 美丽中国 标普道琼斯A股 雄安新区 PPP概念 危废处理 铜冶炼 土壤修复 动力电池回收 水利 新型城镇化 固废处理 国企改革 核污染防治,2024-03-17
002376.XSHE,新北洋,机器人 智慧物流,"机器人 智慧物流,机器人",智能制造 智能设备/装备领域解决方案更多...,人民币防伪 电子信息 新版人民币 3D打印 车联网 物联网 深股通 智能物流 物联网感知层 融资融券 转融券标的 富时罗素概念 富时罗素概念股 标普道琼斯A股 机器视觉 换电概念 数字货币 智能制造 冷链物流 智慧政务 新零售 机器人概念,2024-03-17
301068.XSHE,大地海洋,环保,环保,环保 公司是一家专注于废弃资源综更多...,融资融券 转融券标的 固废处理 新股与次新股 注册制次新股,2024-03-14
000507.XSHE,珠海港,航运 港口,航运 港口,航运 实控人为珠海市国资委，大湾更多...,珠港澳物流合作园 新能源 珠海主题公园 广东自贸区 中巴经济走廊 PTA 横琴新区 参股新三板 航运港口 融资租赁 航运概念 一带一路 粤港澳大湾区 地方国资改革 富时罗素概念股 光伏概念 风电 天然气 海上风电 半年报预增 广东国资改革 珠海国资改革 三季报预增 深股通 年报预增 统一大市场,2024-03-14
300347.XSHE,泰格医药,医药医疗,医药医疗,医药 国内临床试验CRO企业龙头更多...,健康中国 深股通 医疗器械概念 创新药 融资融券 转融券标的 富时罗素概念 富时罗素概念股 台湾概念股 MSCI概念 同花顺漂亮100 CRO概念 年报预增,2024-03-14
688197.XSHG,首药控股,医药医疗,"医药医疗,医药",医药 小分子创新药企业；研发管线更多...,科创次新股 创新药 新股与次新股 融资融券,2024-03-14
002454.XSHE,松芝股份,新能源汽车,"新能源汽车 汽车热管理 业绩增长 公告 回购,新能源汽车",新能源汽车 公司已推出新能源乘用车电池更多...,新能源汽车 宁德时代概念 冷链物流 轨道交通 蔚来汽车概念 储能 汽车热管理 汽车零部件 比亚迪概念 空气能热泵 世界杯,2024-03-13
002544.XSHE,普天科技,飞行汽车/eVTOL,"军工,卫星互联网 PCB板 军工,飞行汽车/eVTOL",飞行汽车/eVTOL 1、中国电科下属上市公司之更多...,网络安全 IPV6 深股通 5G 卫星导航 军民融合 军工 融资融券 华为概念 转融券标的 数据中心 云计算 元器件 智慧城市 边缘计算 雄安新区 富时罗素概念 轨道交通 富时罗素概念股 标普道琼斯A股 央企国资改革 半年报预增 中国电科系 三季报预增 年报预增 国企改革 央企国企改革 PCB概念,2024-03-13
002190.XSHE,成飞集成,军工,军工,军工 1、中国航空工业集团旗下上更多...,成渝特区 大飞机 无人机 新能源汽车 深股通 中航系 央企国资改革 锂电池 军工 专精特新 三季报预增 储能 年报预增 央企国企改革 成飞概念 国企改革,2024-03-13
600880.XSHG,博瑞传播,游戏,"游戏,游戏 教育 数据要素,游戏 教育 一季报增长",游戏 公司旗下两家游戏公司属于游更多...,腾讯概念 新媒体 虚拟现实 数字出版示范 TMT 融资融券 平面媒体 转融券标的 文化传媒 小额贷款 网络游戏 手机游戏 网络直播 地方国资改革 知识产权保护 电子竞技 K12教育 四川国资改革 NFT概念 在线教育 跨境电商 数字经济 数据确权 抖音概念 虚拟数字人 沪股通,2024-03-13
600551.XSHG,时代出版,传媒,"传媒,传媒 教育 人工智能,传媒 教育",传媒 公司主营图书、期刊、全媒体更多...,新媒体 数字出版示范 SNS概念 融资融券 平面媒体 转融券标的 在线教育 文化传媒 京东金融概念 创投 地方国资改革 中科院系 安徽国资改革 参股券商 托育服务 国企改革 沪股通,2024-03-13
603238.XSHG,诺邦股份,其他,"纺织服装 母婴用品 业绩增长,其他",其他 公司母婴产品主要有婴幼儿手更多...,人民币贬值受益 三胎概念 电子商务,2024-03-13
301390.XSHE,经纬股份,电力,电力,光伏 公司业务涉及以光伏发电、储更多...,首发新股 电力物联网 注册制次新股 时空大数据 数字孪生 虚拟电厂 智慧城市 阿里巴巴概念 杭州亚运会 充电桩 融资融券 新股与次新股 数字经济 水利 光伏概念,2024-03-12
002750.XSHE,龙津药业,医药医疗,"医药医疗,医药 中药 工业大麻,中药 医药,医药 中药 创新药,医药",医药 国内高纯度灯盏花素原料药制更多...,中医药 工业大麻 融资融券 转融券标的 仿制药 三季报预增 年报预增 创新药,2024-03-12
603982.XSHG,泉峰汽车,新能源汽车 汽车零部件,"华为汽车 华为产业链 新能源汽车,新能源汽车 华为汽车 一体化压铸 特斯拉,新能源汽车 汽车零部件",新能源汽车 公司主营从事汽车关键零部件更多...,新能源汽车 沪股通 半年报预增 三季报预增 汽车零部件 年报预增 比亚迪概念 一体化压铸 家用电器 减速器 特斯拉,2024-03-12
600381.XSHG,青海春天,白酒 食品饮料 医药医疗,"白酒 食品饮料 消费,白酒 食品饮料 医药医疗",大消费 1、冬虫夏草产业化龙头企业更多...,涉矿 生物医药 中医药 冬虫夏草 白酒概念 沪股通,2024-03-12
300181.XSHE,佐力药业,医药医疗,医药医疗,医药 药用真菌制药领域龙头，预计更多...,医疗改革 中医药 生物医药 健康中国 独角兽概念 医保目录 细胞免疫治疗 基因测序 冬虫夏草 股权转让 半年报预增 三季报预增 年报预增 共同富裕示范区 电子商务 医药电商 网络直播,2024-03-12
002245.XSHE,蔚蓝锂芯,锂电池 新能源汽车,"锂电池 钠离子电池,锂电池,锂电池 新能源汽车",锂电池 全资子公司天鹏电源是国内高更多...,舟山自贸区 正极材料 锂电制造 节能照明 芯片概念 创投 MiniLED 蓝宝石 氮化镓 深股通 半年报预增 锂电池 养老金持股 三季报预增 年报预增 储能 钠离子电池,2024-03-12
002997.XSHE,瑞鹄模具,新能源汽车 汽车零部件,"汽车产业链 汽车零部件,汽车产业链 汽车压铸一体化 汽车零部件,新能源汽车 汽车零部件",新能源汽车 国内领先的汽车模具制造商，更多...,新能源汽车 蔚来汽车概念 北汽新能源 专精特新 汽车零部件 华为汽车 一体化压铸 机器人概念 半年报预增,2024-03-12
301398.XSHE,星源卓镁,新能源汽车 有色金属,"汽车零部件 汽车产业链,次新股 汽车产业链,新能源汽车 有色金属,汽车产业链",新能源汽车 1、公司成功开发并量产镁合更多...,首发新股 融资融券 新股与次新股 新能源汽车 专精特新 注册制次新股 新材料概念 特斯拉 无人驾驶 减速器,2024-03-12
688260.XSHG,昀冢科技,消费电子 华为产业链,"手机产业链,华为产业链 消费电子 MLCC,华为产业链 MLCC 消费电子,消费电子 华为产业链",其他 公司聚焦手机光学领域精密电更多...,融资融券 转融券标的 华为概念 新股与次新股 科创次新股 消费电子概念 汽车电子,2024-03-12
600754.XSHG,锦江酒店,旅游,旅游,大消费 公司是有限服务型酒店龙头，更多...,情人节 收入改革 共享办公 B转H 沪股通 地方国资改革 融资融券 共享经济 转融券标的 富时罗素概念 富时罗素概念股 大消费 迪士尼 MSCI概念 标普道琼斯A股 上海国资改革 旅游 上海国企改革,2024-03-12
002006.XSHE,精工科技,光伏 机器人,"机器人 光伏,光伏 机器人",光伏 全资公司浙江精功新材料具有更多...,机器人概念 新能源 工业机器人 多晶硅 太阳能 碳纤维 口罩 半年报预增 光伏概念 三季报预增 年报预增 深股通,2024-03-12
837046,亿能电力,更多...,更多...,更多...,新股与次新股,2024-03-11
601789.XSHG,宁波建工,东数西算/算力,"腾讯大模型 人工智能,东数西算/算力,基建 新型城镇化 数据中心",东数西算/算力 1、公司主营房屋建筑工程、更多...,舟山自贸区 杭州湾大湾区 杭州亚运会 参股券商 舟山新区 PPP概念 融资融券 沪股通 转融券标的 一带一路 云计算 VPN 地方国资改革 区块链 数据中心 基建工程 轨道交通 园林开发 装配式建筑 新型城镇化 水利 量子科技 标普道琼斯A股 富时罗素概念 浙江国资改革 大数据 边缘计算 国企改革 东数西算（算力）,2024-03-11
002132.XSHE,恒星科技,光伏,"光伏 有机硅 特高压 金刚线,光伏",光伏 行业内唯一一家拥有全产业链更多...,金刚石（线） 特高压 蓝宝石 新材料概念 半年报预增 光伏概念 有机硅概念 三季报预增 硅能源,2024-03-11
002407.XSHE,多氟多,锂电池,锂电池,锂电池 公司为全球六氟磷酸锂龙头之更多...,中原经济区 涉矿 融资融券 深股通 转融券标的 锂电制造 新能源汽车 独角兽概念 创投 口罩 富时罗素概念 富时罗素概念股 氢氟酸 特斯拉 标普道琼斯A股 半年报预增 电解液 新能源 锂电池 氟化工概念 三季报预增 六氟磷酸锂 MSCI概念 年报预增 一季报预增 芯片概念 钠离子电池 比亚迪概念 硅能源 储能 固态电池,2024-03-11
002336.XSHE,人人乐,大消费,"消费 零售,新零售 消费,零售 预制菜 消费,大消费,零售 跨境电商,消费 零售 预制菜 消费,零售,消费 零售 预制菜,消费 零售 跨境电商 预制菜,消费 零售 国企改革",大消费 公司实控人为西安曲江新区管更多...,广东自贸区 跨境电商 电子商务 新零售 地方国资改革 室外经济 摘帽 国企改革 粤港澳大湾区 预制菜 深股通,2024-03-11
301349.XSHE,信德新材,锂电池,锂电池,锂电池 公司主要从事负极包覆材料产更多...,首发新股 锂电池 融资融券 新股与次新股 注册制次新股 新材料概念 专精特新 碳纤维 送转填权 高压快充,2024-03-11
300317.XSHE,珈伟新能,光伏,光伏,光伏 1、国内较早设计研发锂电储更多...,人民币贬值受益 节能照明 锂电制造 光伏概念 OLED 柔性屏 固态电池 储能 锂电池 绿色电力 磷酸铁锂,2024-03-11
300712.XSHE,永福股份,光伏,光伏,光伏 国际知名的电力能源综合服务更多...,网络安全 一带一路 特高压 创业板重组松绑 充电桩 电力物联网 光伏概念 创投 区块链 数据中心 工业互联网 核电 西电东送 风电 宁德时代概念 储能 抽水蓄能 深股通 柔性直流输电 融资融券,2024-03-11
603520.XSHG,司太立,医药,医药,医药 公司是造影剂原料药龙头，专更多...,生物医药 沪股通 养老金持股 专精特新,2024-03-11
600557.XSHG,康缘药业,医药,医药,医药 公司被国家及各省新冠防治方更多...,医药电商 登革热 融资融券 转融券标的 中医药 医疗改革 禽流感 医保目录 富时罗素概念 富时罗素概念股 标普道琼斯A股 新冠治疗 毛发医疗 证金持股 沪股通,2024-03-11
002042.XSHE,华孚时尚,东数西算/算力,"东数西算/算力,纺织服装 算力,纺织服装",东数西算/算力 全资子公司浙江华孚计划投资更多...,融资融券 深股通 转融券标的 棉纱 人民币贬值受益 粤港澳大湾区 创投 富时罗素概念 富时罗素概念股 东盟自贸区 标普道琼斯A股 职业教育 棉花种植 工业互联网 农业种植 乡村振兴,2024-03-11
688063.XSHG,派能科技,锂电池,锂电池,锂电池 公司专注于锂电储能领域，产更多...,融资融券 转融券标的 磷酸铁锂 锂电池 科创次新股 新股与次新股 储能 专精特新 钠离子电池 沪股通 年报预增,2024-03-11
001209.XSHE,洪兴股份,跨境电商 纺织服装,"跨境电商 纺织服装,外贸 纺织服装,数据要素 纺织服装,电商 纺织服装",纺织服装 家居服饰知名品牌；公司海外更多...,电子商务 新股与次新股 核准制次新股 网络直播 三胎概念 跨境电商 粤港澳大湾区 数字经济,2024-03-10
605268.XSHG,王力安防,智慧安防 华为产业链,智慧安防 华为产业链,智能制造 国内生产规模最大的安全门企更多...,新股与次新股 核准制次新股 智能家居 智能制造 华为概念 安防,2024-03-10
000851.XSHE,高鸿股份,星闪概念 芯片 车联网 通信设备,"华为星闪 无人驾驶 人工智能,华为星闪 无人驾驶 车联网,华为产业链 华为星闪 无人驾驶 车联网,华为星闪 无人驾驶 车联网 公告 拟转让股份,华为产业链 无人驾驶 车联网,星闪概念 芯片 车联网 通信设备",多模态 1、公司多模态AI已经有研更多...,创投 京东概念 IPV6 互联网保险 央企控股 电子商务 电子信息 电子标签 融资融券 转融券标的 物联网 物联网感知层 互联网彩票 边缘计算 华为概念 云计算 区块链 在线教育 数据中心 网络安全 百度概念 人工智能 工业互联网 智慧城市 蚂蚁金服概念 物流电商平台 国产操作系统 大数据 车联网 富时罗素概念 央企国资改革 深股通 无人驾驶 信创 乡村振兴 国产软件 央企国企改革,2024-03-10
000411.XSHE,英特集团,医药,"医药 医药商业 医药耗材,医药",医药 浙江省医药流通行业区域龙头更多...,医保目录 医疗器械概念 地方国资改革 医药电商 冷链物流 浙江国资改革 互联网医疗 国企改革 数字经济 跨境电商 共同富裕示范区,2024-03-10
002463.XSHE,沪电股份,芯片 PCB 光通信,"芯片 PCB 光通信 人工智能,芯片 人工智能 算力 PCB 消费电子,交换机 PCB板,芯片 PCB 光通信,5G PCB 交换机,芯片 人工智能 算力 PCB,芯片 PCB 算力 人工智能",国产芯片 1、公司主营PCB板，已经更多...,云计算 沪台通 深股通 融资融券 转融券标的 富时罗素概念 富时罗素概念股 台湾概念股 MSCI概念 标普道琼斯A股 芯片概念 华为概念 5G 汽车电子 PCB概念 毫米波雷达,2024-03-10
